Model,Metric,Comparison,Mean,Lower,Upper
ElasticNet regression,Specificity,S5 - S3,0.004205607476635514,-0.01721183800623053,0.02655763239875387
ElasticNet regression,Specificity,S5 - S4,0.0015264797507788164,-0.010981308411214955,0.012461059190031154
ElasticNet regression,Specificity,S5 - S5,0.0,0.0,0.0
Lasso regression,AUPRC value,S1 - S1,0.0,0.0,0.0
Lasso regression,AUPRC value,S1 - S2,0.011249356831525708,-0.11181894879061587,0.18794839438398905
Lasso regression,AUPRC value,S1 - S3,-0.04233753430840198,-0.28522837595860945,0.11299332915950483
Lasso regression,AUPRC value,S1 - S4,-0.0323406402039838,-0.20998703750217151,0.13165407821579797
Lasso regression,AUPRC value,S1 - S5,-0.04257320178175647,-0.22140075170059015,0.14884903384625073
Lasso regression,AUPRC value,S2 - S1,-0.011249356831525708,-0.18794839438398947,0.11181894879061587
Lasso regression,AUPRC value,S2 - S2,0.0,0.0,0.0
Lasso regression,AUPRC value,S2 - S3,-0.0535868911399277,-0.29765174127861227,0.1250207204021697
Lasso regression,AUPRC value,S2 - S4,-0.0435899970355095,-0.24502802733960305,0.1507921236027423
Lasso regression,AUPRC value,S2 - S5,-0.053822558613282175,-0.2886567622491761,0.11802780654709782
Lasso regression,AUPRC value,S3 - S1,0.04233753430840198,-0.11299332915950488,0.2852283759586092
Lasso regression,AUPRC value,S3 - S2,0.0535868911399277,-0.12502072040216994,0.29765174127861227
Lasso regression,AUPRC value,S3 - S3,0.0,0.0,0.0
Lasso regression,AUPRC value,S3 - S4,0.009996894104418196,-0.09462445311815028,0.14744342280773148
Lasso regression,AUPRC value,S3 - S5,-0.00023566747335447474,-0.11738408668498349,0.16844424013155399
Lasso regression,AUPRC value,S4 - S1,0.0323406402039838,-0.13165407821579828,0.20998703750217151
Lasso regression,AUPRC value,S4 - S2,0.0435899970355095,-0.1507921236027423,0.2450280273396029
Lasso regression,AUPRC value,S4 - S3,-0.009996894104418196,-0.14744342280773148,0.09462445311815026
Lasso regression,AUPRC value,S4 - S4,0.0,0.0,0.0
Lasso regression,AUPRC value,S4 - S5,-0.010232561577772668,-0.09884509900612032,0.08162672073916405
Lasso regression,AUPRC value,S5 - S1,0.04257320178175647,-0.14884903384625092,0.22140075170059006
Lasso regression,AUPRC value,S5 - S2,0.053822558613282175,-0.11802780654709813,0.28865676224917586
Lasso regression,AUPRC value,S5 - S3,0.00023566747335447474,-0.16844424013155415,0.11738408668498347
Lasso regression,AUPRC value,S5 - S4,0.010232561577772668,-0.08162672073916416,0.09884509900612029
Lasso regression,AUPRC value,S5 - S5,0.0,0.0,0.0
Lasso regression,AUROC value,S1 - S1,0.0,0.0,0.0
Lasso regression,AUROC value,S1 - S2,0.0015716510903426917,-0.004754672897196227,0.012278037383177608
Lasso regression,AUROC value,S1 - S3,-0.008107476635514005,-0.035109034267912696,0.01387461059190028
Lasso regression,AUROC value,S1 - S4,-0.010976635514018689,-0.050455607476635495,0.037955607476635476
Lasso regression,AUROC value,S1 - S5,-0.012637071651090327,-0.05662772585669783,0.046616043613707185
Lasso regression,AUROC value,S2 - S1,-0.0015716510903426917,-0.012278037383177625,0.004754672897196226
Lasso regression,AUROC value,S2 - S2,0.0,0.0,0.0
Lasso regression,AUROC value,S2 - S3,-0.009679127725856697,-0.039933800623052865,0.010342679127725846
Lasso regression,AUROC value,S2 - S4,-0.012548286604361381,-0.04810358255451713,0.038364485981308295
Lasso regression,AUROC value,S2 - S5,-0.014208722741433016,-0.05490654205607468,0.04600467289719617
Lasso regression,AUROC value,S3 - S1,0.008107476635514005,-0.01387461059190031,0.035109034267912675
Lasso regression,AUROC value,S3 - S2,0.009679127725856697,-0.010342679127725869,0.03993380062305276
Lasso regression,AUROC value,S3 - S3,0.0,0.0,0.0
Lasso regression,AUROC value,S3 - S4,-0.0028691588785046828,-0.030623052959501622,0.02935358255451706
Lasso regression,AUROC value,S3 - S5,-0.004529595015576322,-0.038317757009345865,0.038473520249221196
Lasso regression,AUROC value,S4 - S1,0.010976635514018689,-0.03795560747663548,0.05045560747663547
Lasso regression,AUROC value,S4 - S2,0.012548286604361381,-0.03836448598130831,0.04810358255451712
Lasso regression,AUROC value,S4 - S3,0.0028691588785046828,-0.029353582554517133,0.03062305295950159
Lasso regression,AUROC value,S4 - S4,0.0,0.0,0.0
Lasso regression,AUROC value,S4 - S5,-0.0016604361370716391,-0.012523364485981361,0.009750778816199372
Lasso regression,AUROC value,S5 - S1,0.012637071651090327,-0.04661604361370723,0.0566277258566978
Lasso regression,AUROC value,S5 - S2,0.014208722741433016,-0.04600467289719619,0.054906542056074654
Lasso regression,AUROC value,S5 - S3,0.004529595015576322,-0.03847352024922125,0.038317757009345865
Lasso regression,AUROC value,S5 - S4,0.0016604361370716391,-0.009750778816199403,0.01252336448598134
Lasso regression,AUROC value,S5 - S5,0.0,0.0,0.0
Lasso regression,Accuracy,S1 - S1,0.0,0.0,0.0
Lasso regression,Accuracy,S1 - S2,0.0017220543806646526,-0.015256797583081554,0.032099697885196204
Lasso regression,Accuracy,S1 - S3,-0.0031117824773413873,-0.04086102719033232,0.034818731117824735
Lasso regression,Accuracy,S1 - S4,-0.006435045317220538,-0.04086102719033232,0.03481873111782474
Lasso regression,Accuracy,S1 - S5,-0.007975830815709966,-0.04546827794561929,0.03179758308157104
Lasso regression,Accuracy,S2 - S1,-0.0017220543806646526,-0.032099697885196336,0.015256797583081504
Lasso regression,Accuracy,S2 - S2,0.0,0.0,0.0
Lasso regression,Accuracy,S2 - S3,-0.00483383685800604,-0.041012084592145066,0.03338368580060412
Lasso regression,Accuracy,S2 - S4,-0.00815709969788519,-0.04388217522658613,0.03481873111782474
Lasso regression,Accuracy,S2 - S5,-0.009697885196374618,-0.04992447129909363,0.030211480362537794
Lasso regression,Accuracy,S3 - S1,0.0031117824773413873,-0.034818731117824755,0.04086102719033229
Lasso regression,Accuracy,S3 - S2,0.00483383685800604,-0.033383685800604176,0.04101208459214499
Lasso regression,Accuracy,S3 - S3,0.0,0.0,0.0
Lasso regression,Accuracy,S3 - S4,-0.003323262839879151,-0.02114803625377648,0.019712990936555812
Lasso regression,Accuracy,S3 - S5,-0.004864048338368578,-0.028776435045317204,0.019712990936555864
Lasso regression,Accuracy,S4 - S1,0.006435045317220538,-0.03481873111782476,0.04086102719033229
Lasso regression,Accuracy,S4 - S2,0.00815709969788519,-0.03481873111782476,0.043882175226586106
Lasso regression,Accuracy,S4 - S3,0.003323262839879151,-0.01971299093655584,0.02114803625377648
Lasso regression,Accuracy,S4 - S4,0.0,0.0,0.0
Lasso regression,Accuracy,S4 - S5,-0.0015407854984894275,-0.015105740181268926,0.012084592145015116
Lasso regression,Accuracy,S5 - S1,0.007975830815709966,-0.03179758308157107,0.04546827794561924
Lasso regression,Accuracy,S5 - S2,0.009697885196374618,-0.030211480362537794,0.04992447129909361
Lasso regression,Accuracy,S5 - S3,0.004864048338368578,-0.01971299093655589,0.028776435045317177
Lasso regression,Accuracy,S5 - S4,0.0015407854984894275,-0.012084592145015116,0.015105740181268926
Lasso regression,Accuracy,S5 - S5,0.0,0.0,0.0
Lasso regression,NPV,S1 - S1,0.0,0.0,0.0
Lasso regression,NPV,S1 - S2,0.00011666059920560134,-0.00014305979105308785,0.0035346529852353084
Lasso regression,NPV,S1 - S3,-0.00010800161144907339,-0.005271773337384353,0.0051468568111472145
Lasso regression,NPV,S1 - S4,-3.778825896049942e-05,-0.006787345555400804,0.003604772937757758
Lasso regression,NPV,S1 - S5,1.8620903441642912e-05,-0.006805880642635059,0.003727200313395292
Lasso regression,NPV,S2 - S1,-0.00011666059920560134,-0.0035346529852353092,0.0001430597910530874
Lasso regression,NPV,S2 - S2,0.0,0.0,0.0
Lasso regression,NPV,S2 - S3,-0.00022466221065467473,-0.004158911796122181,0.005245602028690254
Lasso regression,NPV,S2 - S4,-0.00015444885816610077,-0.006910304425887445,0.003609925573824546
Lasso regression,NPV,S2 - S5,-9.803969576395844e-05,-0.006923141396362434,0.005397456293749613
Lasso regression,NPV,S3 - S1,0.00010800161144907339,-0.0051468568111472405,0.005271773337384334
Lasso regression,NPV,S3 - S2,0.00022466221065467473,-0.00524560202869028,0.004158911796122179
Lasso regression,NPV,S3 - S3,0.0,0.0,0.0
Lasso regression,NPV,S3 - S4,7.021335248857396e-05,-0.0036591928395188988,0.006715165598119427
Lasso regression,NPV,S3 - S5,0.0001266225148907163,-0.003904781418901465,0.006614528321105962
Lasso regression,NPV,S4 - S1,3.778825896049942e-05,-0.003604772937757758,0.006787345555400803
Lasso regression,NPV,S4 - S2,0.00015444885816610077,-0.003609925573824546,0.006910304425887444
